checking_status,duration,credit_history,purpose,credit_amount,saving_status,emplyoment,installment_commintment,sex,other_parties,residence,property_magnitude,age,other_emplyoment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,Class
3,36,2,3,44,1,5,4,0,1,2,3,3,3,2,1,3,1,1,1,1
2,6,2,3,10,1,5,4,0,1,4,3,2,3,2,1,3,2,1,1,1
1,24,4,1,66,1,1,2,0,1,4,4,7,3,3,2,4,1,2,1,1
4,18,4,6,18,2,3,4,1,1,2,1,3,3,2,2,3,1,1,1,2
2,60,2,0,74,2,2,4,1,1,2,2,2,3,2,1,4,1,1,1,2
4,48,4,1,115,2,3,2,1,1,4,3,2,1,1,2,2,1,1,1,2
1,24,0,2,41,1,5,3,0,1,4,4,2,1,1,2,3,2,1,1,2
1,6,4,2,33,1,3,1,0,1,4,1,4,3,1,1,4,1,2,1,2
2,13,2,3,21,1,2,2,1,3,4,2,2,3,2,1,2,1,1,1,1
1,15,2,4,12,5,3,4,1,1,2,3,2,3,1,1,3,1,1,1,2
1,24,2,2,41,1,3,4,0,1,4,2,2,3,2,1,3,1,1,1,1
2,10,2,2,15,1,3,4,0,1,2,3,3,3,2,1,2,1,1,1,1
2,24,4,6,57,1,2,2,1,1,4,4,2,3,3,2,3,1,2,1,1
1,21,2,2,35,1,4,1,1,1,4,3,2,3,1,1,2,1,1,1,1
2,18,2,3,32,3,2,1,0,1,3,1,2,3,1,1,3,1,1,1,1
2,18,2,9,44,1,5,1,0,2,1,1,3,1,2,1,4,1,2,1,1
3,10,2,0,39,1,2,1,0,3,1,2,3,3,2,1,2,2,1,1,1
4,15,4,3,14,1,3,4,1,1,2,3,4,3,2,1,2,1,1,1,1
2,13,4,3,8,1,2,4,0,3,4,1,2,3,2,2,3,1,1,1,1
2,24,2,3,37,3,1,1,1,1,4,4,2,3,1,1,1,1,1,1,1
4,6,3,9,17,2,3,1,0,1,2,1,3,3,2,2,2,1,1,1,1
2,9,4,6,11,4,5,4,0,1,3,4,3,3,3,2,3,2,1,1,2
4,9,2,4,12,1,2,1,1,1,4,1,2,3,1,1,3,1,2,1,1
2,9,2,2,9,1,3,1,1,1,2,3,2,3,2,1,3,1,1,2,2
4,18,4,1,32,5,1,2,0,1,4,4,3,3,2,1,4,1,2,1,1
1,12,0,3,61,1,3,4,0,1,2,2,2,3,1,2,3,1,2,1,2
4,10,2,6,7,3,5,4,0,1,4,4,4,3,3,1,3,1,2,1,1
2,24,2,0,12,1,2,4,0,1,2,1,2,2,2,1,2,1,1,1,2
4,12,4,3,23,5,5,1,0,2,4,1,4,3,2,1,3,1,2,1,1
4,36,3,3,44,1,3,4,0,1,2,3,2,3,2,2,4,1,2,1,2
4,12,2,3,7,1,3,4,0,1,2,1,2,3,2,1,3,1,1,1,1
1,30,2,2,24,1,4,4,1,1,4,1,2,3,1,1,3,1,1,1,2
2,18,2,6,12,5,3,4,0,1,4,4,6,3,3,1,3,1,1,1,1
3,12,2,3,33,5,5,2,0,1,3,3,3,3,2,1,4,1,1,1,1
3,12,3,0,22,1,3,2,1,1,2,3,3,2,2,2,3,1,2,1,1
4,6,2,2,17,1,3,1,0,1,2,2,2,3,1,1,3,1,1,1,1
1,18,2,2,24,1,1,4,0,1,1,3,2,3,2,1,1,1,1,1,2
4,12,2,9,15,1,4,2,0,1,4,3,3,3,2,1,3,1,2,1,1
4,18,4,1,38,1,4,3,0,1,1,3,2,3,2,2,3,1,1,1,1
1,18,2,2,36,1,2,1,1,1,4,3,2,3,1,1,3,1,1,1,1
1,36,2,2,34,1,5,4,0,1,2,3,4,3,2,1,3,2,1,1,2
2,18,2,2,30,1,4,2,1,1,4,1,4,3,1,1,3,1,1,1,1
4,36,2,0,30,5,3,4,0,1,4,1,3,3,2,1,3,1,1,1,1
4,18,4,3,60,1,5,3,0,1,4,3,3,3,2,2,3,1,2,1,1
4,10,4,2,21,1,2,1,1,1,3,1,2,3,1,2,3,1,1,1,1
4,60,4,0,137,5,5,2,0,1,4,4,6,1,3,1,4,1,2,1,1
2,60,1,10,147,2,5,3,1,1,4,4,6,1,3,2,4,1,2,1,2
1,48,1,9,76,1,4,2,1,3,4,3,3,3,1,1,3,1,1,1,2
4,18,3,3,23,1,1,2,0,1,3,1,3,3,2,2,3,1,1,1,1
4,7,3,3,8,5,5,3,0,1,4,4,3,3,3,1,3,1,1,1,1
2,36,2,0,143,1,5,4,0,1,2,4,5,3,3,1,4,1,2,1,2
4,6,4,0,3,2,3,4,1,1,4,3,5,3,2,2,2,1,1,1,1
1,20,2,2,22,5,4,4,0,1,4,3,3,3,2,1,3,1,2,1,1
2,18,2,1,129,1,1,3,1,1,4,4,3,3,3,1,4,1,2,1,2
4,22,2,0,12,5,4,4,1,1,4,2,2,3,1,1,3,1,1,1,1
3,12,2,0,13,1,2,4,0,1,1,1,2,3,2,1,3,1,1,1,1
4,30,3,9,42,2,3,2,0,1,2,2,2,3,2,2,2,1,1,1,1
4,18,4,3,22,1,3,2,1,1,1,3,2,3,2,2,3,1,1,1,1
4,18,2,3,11,5,2,4,1,1,2,1,2,3,1,1,3,1,2,1,1
2,18,4,2,73,1,1,4,0,1,4,2,4,2,2,2,4,1,2,1,1
2,15,4,9,23,3,3,2,0,1,4,3,2,1,2,1,3,1,1,1,1
4,9,2,9,14,1,4,3,1,1,2,3,2,3,2,2,3,1,1,1,1
4,18,2,0,18,1,3,2,0,1,2,2,3,3,2,1,4,1,2,1,1
2,12,2,2,9,4,2,1,1,1,4,1,1,3,1,1,2,1,1,1,1
1,36,2,0,32,1,4,2,0,1,4,4,3,1,3,1,4,2,2,1,1
1,6,4,3,19,1,4,1,1,1,4,3,3,3,2,1,3,1,1,1,1
4,9,4,2,24,1,1,2,0,1,3,3,3,3,2,1,4,1,1,1,1
2,39,3,6,117,2,4,2,0,1,3,4,3,3,1,1,3,1,2,1,1
1,12,2,2,25,1,1,3,1,1,4,4,5,3,3,1,4,1,1,1,1
1,36,4,2,23,1,3,3,0,1,2,2,4,3,2,2,3,1,2,1,1
2,12,2,0,12,1,5,1,0,1,1,1,4,3,1,2,3,1,1,1,2
4,24,4,3,15,4,3,4,1,1,1,1,4,3,2,2,2,1,1,1,1
4,18,2,3,14,1,2,3,0,1,4,1,3,3,2,1,3,1,2,1,1
2,18,4,9,18,5,3,4,0,1,4,1,2,1,2,2,3,1,1,1,1
4,24,3,9,86,1,2,2,0,1,2,3,2,1,2,2,3,1,2,1,2
4,14,3,0,8,1,3,4,0,1,2,3,2,3,2,2,2,1,1,1,1
2,18,3,0,28,5,5,4,0,1,4,3,4,3,2,1,3,2,1,1,1
2,24,2,3,20,1,2,1,0,1,1,2,2,3,2,1,3,1,2,1,2
4,24,4,1,21,5,4,4,0,1,4,3,4,3,2,2,3,2,2,1,1
1,15,2,3,10,1,2,4,0,1,2,1,2,3,2,1,3,1,1,2,1
4,24,2,3,32,3,5,3,0,1,2,3,2,3,2,1,4,1,2,1,1
3,12,4,0,9,3,4,4,0,1,2,1,2,3,2,3,3,1,2,1,2
2,24,2,3,19,1,5,4,1,1,4,3,2,3,2,1,3,1,2,1,1
4,33,4,1,72,1,4,3,0,1,2,3,3,3,2,2,4,1,2,1,1
4,12,4,9,22,1,1,4,0,1,2,3,4,2,2,2,4,1,2,1,2
4,10,2,0,15,3,3,3,0,1,2,4,4,3,1,1,2,2,1,2,1
1,24,2,0,13,5,3,4,1,1,2,2,3,3,2,1,3,1,1,1,2
4,36,4,1,58,1,5,2,0,1,2,2,3,3,2,2,3,2,2,1,1
1,12,2,0,25,1,2,4,0,1,1,1,3,3,2,1,2,2,1,1,2
1,18,3,6,84,5,3,1,1,1,2,3,2,3,1,2,3,1,2,1,1
4,21,2,0,27,3,4,1,1,1,2,3,3,1,2,1,4,1,1,1,1
2,18,2,0,10,5,3,4,1,1,2,2,3,3,2,1,3,1,1,1,2
4,15,2,0,31,4,4,2,1,1,3,3,2,3,1,1,3,1,1,1,1
2,12,2,1,20,5,3,4,0,1,2,3,3,3,2,1,3,1,1,1,1
2,12,4,0,9,1,4,2,0,1,3,1,4,3,2,2,2,2,1,1,1
4,21,3,2,15,2,4,4,0,1,3,1,3,3,2,2,4,1,1,1,1
2,12,2,2,27,5,5,1,1,1,2,2,2,1,2,1,3,1,2,1,2
2,18,2,1,27,1,3,1,0,1,3,3,2,3,1,1,3,1,2,1,1
4,28,4,3,27,1,5,4,0,1,2,3,2,3,2,2,3,1,1,1,1
4,18,4,3,11,4,3,4,0,1,3,1,4,3,2,2,3,1,1,1,1
4,9,2,2,13,1,5,1,0,1,4,3,2,3,2,1,3,1,1,1,1
1,18,4,5,11,1,1,2,1,1,4,4,5,3,3,3,1,2,1,1,2
4,5,2,9,34,1,4,1,0,1,4,1,7,3,2,1,2,1,1,1,1
2,24,2,10,113,1,3,2,0,2,3,3,2,1,2,2,4,1,2,1,2
1,6,4,2,18,1,1,4,0,1,4,4,3,3,3,3,4,1,2,1,1
4,24,4,5,20,1,3,4,0,1,2,1,3,3,2,2,3,1,2,1,1
1,9,2,2,21,1,3,3,0,1,2,1,2,3,2,1,3,1,1,1,1
2,12,2,3,14,5,3,2,0,1,1,1,2,3,2,1,3,1,2,1,2
4,6,2,5,6,3,4,2,0,1,4,1,2,3,1,1,2,1,1,1,1
4,24,4,0,12,4,5,4,1,1,4,1,3,3,2,2,3,1,2,1,1
1,42,4,5,33,1,1,4,0,2,4,3,6,3,2,2,1,1,1,1,1
3,12,1,9,6,1,2,4,1,1,1,1,2,3,2,1,1,1,1,1,2
4,12,2,0,18,1,5,4,0,1,4,3,3,3,2,1,4,1,2,1,1
1,12,2,2,16,1,3,2,1,2,3,2,3,3,2,1,3,1,1,1,1
2,20,3,10,26,1,3,2,0,1,3,3,2,1,2,2,3,1,2,1,1
4,12,2,6,7,1,5,4,0,1,4,3,4,1,2,1,2,2,1,1,2
2,48,4,2,50,1,3,2,1,1,3,3,3,3,2,1,4,1,2,1,2
4,9,4,6,12,5,5,4,1,1,4,2,4,3,1,2,2,1,1,1,1
1,36,2,0,18,1,2,4,1,1,4,3,3,3,2,1,3,1,2,1,2
2,7,2,3,25,1,3,2,0,3,2,1,3,3,2,1,3,1,1,1,1
3,12,2,2,14,5,5,3,1,1,4,1,5,3,2,1,4,1,2,1,1
2,15,3,5,15,4,3,3,0,1,3,2,6,2,2,2,3,1,1,1,2
4,36,4,1,110,5,3,4,0,1,2,3,3,3,2,1,4,1,2,1,1
4,6,2,3,5,1,3,3,1,1,1,1,2,3,2,1,3,1,1,1,1
4,12,0,2,27,1,5,2,0,1,4,2,3,3,2,2,3,1,1,1,1
4,24,2,1,26,1,5,4,0,1,4,3,3,3,2,1,4,1,2,1,1
1,24,2,0,48,1,4,2,0,2,3,2,3,3,2,1,3,1,2,1,2
4,24,2,1,26,1,2,4,1,1,1,4,2,3,2,1,4,1,2,1,1
1,11,4,0,39,1,3,2,0,1,2,1,3,3,1,2,3,2,1,1,1
1,12,2,1,33,1,5,3,0,1,4,4,3,3,3,1,3,1,2,1,2
1,6,2,4,3,1,2,4,1,1,1,1,2,3,2,1,3,1,1,1,1
4,18,2,3,45,1,2,3,0,1,2,3,3,3,2,1,3,1,2,1,1
1,36,2,2,36,1,3,1,0,3,2,2,3,3,2,1,3,2,1,1,1
1,15,2,0,17,1,2,2,0,1,3,1,3,3,2,1,3,1,1,1,1
2,12,2,2,30,1,2,3,1,1,1,1,3,3,1,1,4,1,1,1,1
2,12,2,8,7,5,5,4,0,1,4,2,3,3,2,2,3,1,1,1,1
4,18,2,9,19,1,4,4,0,1,1,3,3,2,2,2,3,1,2,1,1
1,24,2,1,29,1,3,3,0,3,4,4,6,1,2,1,3,2,2,1,1
1,24,3,3,16,1,2,4,1,1,2,3,2,3,1,1,2,1,2,1,2
4,48,3,3,72,5,5,3,0,1,3,3,3,1,2,2,3,2,1,1,1
4,33,3,9,27,1,3,2,1,1,2,3,2,3,2,2,3,1,2,1,1
4,24,3,1,46,1,4,3,0,1,3,3,3,3,2,2,2,1,2,1,1
2,24,2,3,30,2,2,3,0,1,2,3,2,3,1,1,3,1,2,1,2
1,6,2,6,4,1,2,4,1,1,4,2,2,3,2,1,3,1,1,1,2
1,9,2,0,6,1,3,4,0,1,3,3,2,3,2,1,2,1,1,1,2
4,6,2,8,12,5,1,4,0,1,4,2,3,3,2,1,4,2,2,1,1
2,18,4,3,12,1,3,4,0,1,2,3,3,3,2,1,3,1,1,1,2
1,18,0,2,31,1,2,1,1,1,4,2,2,3,1,1,3,1,1,1,2
4,39,2,1,25,3,3,4,0,1,4,3,2,3,2,1,3,1,1,1,1
3,24,2,3,51,1,4,4,0,1,2,3,2,1,2,1,3,1,1,1,1
2,12,2,9,10,2,4,3,0,1,4,1,3,3,2,1,2,1,1,1,1
1,15,4,2,14,1,5,4,0,1,4,3,4,3,2,2,3,2,2,1,1
2,12,4,3,35,1,3,1,1,1,1,1,2,3,2,1,2,1,1,1,1
2,24,2,0,12,1,2,4,0,1,1,2,2,3,2,1,3,1,1,1,1
1,30,2,2,36,4,5,4,1,1,4,2,5,3,1,2,3,1,2,1,1
4,15,3,2,9,4,4,3,1,1,2,2,3,3,2,2,3,1,1,1,1
4,12,4,0,11,3,3,4,0,1,4,1,4,3,2,1,3,1,2,1,1
2,6,3,0,12,1,1,4,0,1,4,2,4,3,2,1,4,1,2,1,2
4,12,2,3,30,1,3,2,0,1,4,3,5,3,2,1,3,1,2,1,1
4,24,2,0,37,1,5,4,1,2,4,4,6,3,3,1,3,1,2,1,1
4,10,2,0,14,2,3,3,0,1,2,1,3,3,1,1,2,1,1,2,1
4,6,2,0,35,1,3,2,0,3,3,2,2,3,1,1,3,1,1,1,1
4,12,4,3,19,1,5,2,0,1,2,4,2,3,2,2,3,1,1,1,1
2,27,0,9,83,1,5,2,1,1,4,4,4,3,3,2,4,1,2,1,2
4,6,4,3,12,2,3,1,1,1,1,2,2,3,2,2,3,1,1,1,1
2,6,2,3,3,5,5,4,0,1,4,2,3,3,2,1,3,1,1,1,1
1,12,4,0,21,1,3,3,0,1,2,1,3,3,1,2,2,2,1,2,1
1,24,2,2,29,5,3,2,0,1,4,3,2,3,2,1,3,1,1,1,2
2,36,2,2,90,2,2,4,0,2,1,4,2,3,1,1,4,1,2,1,2
4,24,4,2,15,1,4,4,0,1,3,2,4,3,2,2,3,1,1,1,1
2,18,2,3,13,1,5,4,0,3,2,1,3,3,2,1,2,1,1,1,1
3,6,4,0,13,2,5,2,0,1,4,3,2,3,2,2,3,2,2,1,1
1,24,2,0,31,1,2,4,1,1,1,2,2,3,2,1,3,1,1,1,2
1,36,2,1,54,1,5,2,0,1,4,4,4,3,3,1,3,2,1,1,1
3,9,2,3,11,2,5,2,0,1,4,1,4,3,2,1,3,1,1,1,1
2,24,4,3,12,2,2,4,0,1,4,4,3,1,2,2,3,2,1,1,2
1,24,2,0,12,1,2,4,1,1,4,2,2,3,1,1,3,1,1,1,2
4,10,2,0,13,5,3,4,0,3,4,2,2,3,2,1,2,1,1,1,2
3,15,4,1,23,3,3,2,0,1,2,3,3,3,2,1,3,1,2,1,1
2,15,1,0,68,2,1,1,0,1,2,2,3,3,2,1,4,2,2,1,2
4,24,2,3,14,1,3,4,0,1,2,2,2,3,2,1,3,1,1,1,1
4,39,2,1,85,2,5,4,0,1,2,3,4,3,2,1,4,1,2,1,1
1,12,2,0,7,1,4,4,0,1,2,1,2,3,2,1,3,1,1,1,2
4,36,2,1,46,1,3,2,0,1,2,4,3,3,3,1,4,1,2,1,1
3,15,2,9,26,1,4,2,0,1,4,2,2,3,1,1,3,1,2,1,1
2,12,3,3,5,1,3,4,0,2,4,1,2,3,1,2,3,1,1,1,1
4,24,2,0,22,5,2,4,0,1,1,2,5,3,2,1,3,1,1,1,1
1,6,4,0,6,1,4,4,1,1,3,2,3,3,2,2,3,1,1,2,1
1,6,4,0,13,1,2,2,0,1,4,1,4,3,2,1,2,2,1,2,1
4,36,4,2,71,1,2,2,1,1,4,2,2,3,1,2,3,1,2,1,2
1,6,2,0,12,2,5,3,0,1,2,2,4,3,2,1,3,1,2,1,1
4,6,4,3,7,5,5,4,0,1,4,4,3,3,3,2,3,1,1,1,1
4,24,4,5,55,1,5,3,0,1,4,4,4,3,3,2,3,1,1,1,1
1,18,2,3,31,1,3,2,1,1,2,1,2,3,2,1,3,1,1,1,2
1,48,0,2,71,1,3,3,0,1,4,4,5,3,3,2,3,2,1,1,2
4,24,2,1,34,2,4,3,1,1,4,3,2,3,2,1,3,1,1,1,1
2,18,2,3,11,1,3,4,1,3,4,1,2,3,2,1,2,2,1,1,1
2,26,2,1,79,1,2,2,0,1,3,3,3,3,2,2,3,1,1,1,1
4,15,4,6,15,2,3,4,1,1,3,3,3,3,2,1,3,1,1,1,1
4,4,4,3,15,1,4,2,0,1,1,1,4,3,2,2,2,2,1,1,1
1,36,2,3,23,1,3,4,0,1,4,3,3,3,1,1,3,1,1,1,2
1,6,2,0,6,1,2,3,0,1,4,1,4,3,2,1,2,2,2,1,1
2,36,2,6,22,1,4,3,0,1,1,3,3,3,2,2,3,2,1,1,1
2,15,2,0,26,2,3,2,1,1,4,3,2,3,1,2,3,1,2,1,2
4,12,3,1,15,1,3,4,0,1,4,1,4,3,1,1,3,1,1,1,1
4,24,2,3,13,2,4,4,0,1,3,2,2,3,2,1,3,1,2,1,1
4,24,2,3,31,5,2,4,0,1,2,3,2,3,2,2,3,1,1,1,1
3,21,4,6,23,1,2,2,0,1,1,3,3,3,1,1,3,1,1,1,2
1,6,2,0,13,5,1,4,1,1,3,2,7,3,2,1,4,1,2,1,1
2,18,4,2,36,1,5,3,1,1,4,2,3,3,2,1,3,1,2,1,1
1,48,2,0,77,1,5,4,0,1,4,4,4,1,3,1,4,1,1,1,2
3,18,2,2,30,1,2,1,1,1,1,2,4,2,2,1,2,1,1,1,1
2,12,2,3,15,1,2,1,0,1,1,1,2,3,1,1,3,1,1,1,2
4,24,3,0,20,1,5,4,0,1,4,4,6,3,3,2,3,1,2,1,1
1,30,2,2,63,5,5,4,0,1,4,2,3,3,2,1,3,1,1,1,2
3,18,2,2,28,1,3,2,0,1,1,1,3,3,2,1,2,2,1,1,2
4,12,4,0,12,1,5,4,0,1,4,1,6,3,2,2,2,1,1,1,1
1,24,3,0,13,1,1,4,0,1,2,1,4,3,3,2,3,2,1,1,2
4,24,4,0,20,1,3,4,1,1,4,3,3,3,2,1,3,1,2,1,1
4,24,2,3,15,1,4,3,0,1,1,3,3,1,2,1,3,2,1,1,1
1,12,1,3,6,1,3,4,1,1,4,1,2,1,2,1,2,1,1,1,2
4,48,4,1,88,5,4,2,0,1,1,4,3,3,3,2,3,1,2,1,1
4,12,4,5,9,5,4,4,1,1,4,1,2,3,2,2,3,1,1,1,1
4,6,1,3,17,3,5,2,0,1,4,2,4,1,2,1,2,2,1,1,1
1,48,2,3,69,1,4,1,0,3,1,1,3,3,2,2,3,1,2,1,2
2,12,4,0,19,2,2,4,0,1,1,3,2,3,2,1,3,1,1,1,1
2,9,2,6,11,1,4,4,1,1,4,2,6,3,2,2,4,1,2,1,1
2,12,2,3,13,1,2,2,0,1,1,3,2,2,2,1,3,1,1,1,2
2,18,0,0,22,2,2,3,1,1,3,3,2,3,2,2,3,1,1,1,2
4,21,0,0,50,5,3,1,1,1,4,2,2,1,2,2,3,1,2,1,2
1,24,1,2,35,1,4,3,0,1,4,3,2,1,2,1,3,1,1,1,2
2,18,4,2,19,1,2,2,0,1,2,1,3,3,2,2,2,1,1,1,2
1,24,2,1,29,5,5,4,0,1,4,4,4,1,3,1,3,2,2,1,1
1,24,1,3,15,1,4,4,0,3,4,3,2,1,1,1,2,1,1,1,2
3,6,3,3,6,1,2,2,1,1,1,2,2,1,2,1,3,1,1,1,1
2,36,2,0,123,5,3,1,0,1,4,4,3,3,3,1,3,1,2,1,2
2,24,3,9,47,5,3,4,0,1,2,2,3,1,2,2,4,1,2,1,1
2,24,3,3,15,2,4,3,1,1,2,2,2,3,1,2,3,1,2,1,1
1,12,2,0,13,1,4,2,0,1,3,3,3,3,2,1,3,1,1,1,2
4,24,4,3,25,4,5,2,0,1,2,3,3,3,2,1,3,1,1,1,1
2,48,2,3,39,5,4,4,0,1,1,3,4,3,2,2,3,2,2,1,1
1,48,2,3,67,1,3,3,1,1,2,3,3,3,2,1,3,1,2,1,2
1,24,2,2,32,1,2,4,1,1,4,1,2,3,1,1,2,1,2,1,2
4,30,4,3,59,1,4,3,0,2,2,3,3,3,2,1,3,1,1,1,1
4,24,2,1,54,5,1,2,1,1,4,2,2,3,1,1,4,1,2,1,1
1,15,2,9,8,1,3,4,1,1,4,2,2,3,2,1,2,1,1,1,1
2,9,2,3,10,1,5,4,0,1,4,3,2,3,2,2,2,1,1,1,1
4,15,4,2,27,1,4,2,1,2,3,3,2,1,2,2,3,1,1,1,1
2,12,2,3,29,1,4,2,1,1,1,1,2,3,2,1,3,1,1,1,1
4,24,4,6,19,5,3,3,1,1,2,3,3,3,2,2,3,1,2,1,1
2,36,4,0,28,1,2,4,0,1,4,3,2,3,2,2,3,1,1,1,2
4,24,2,8,9,1,2,4,0,1,3,3,2,3,2,2,2,1,1,1,1
2,18,4,0,10,1,5,3,0,3,3,1,3,1,2,2,3,1,1,1,2
2,12,4,0,31,1,2,1,0,1,3,1,4,1,2,2,2,2,1,1,1
4,9,2,2,13,1,3,4,1,1,2,1,2,3,1,1,3,1,1,1,1
2,36,2,5,23,1,2,4,0,1,1,4,3,3,1,1,2,1,1,1,2
4,12,2,0,21,5,5,4,1,1,4,4,5,3,3,1,4,1,2,1,1
1,18,2,2,20,1,3,1,1,1,4,1,2,1,1,1,3,1,1,1,2
1,9,4,0,27,1,3,2,0,1,2,1,3,3,1,2,3,2,1,1,1
1,12,2,2,12,1,3,4,0,3,1,2,2,3,2,1,2,1,1,1,1
1,18,2,4,12,1,3,4,0,1,3,1,4,3,2,1,2,1,2,1,2
1,12,4,2,22,1,5,3,0,1,3,2,6,3,2,2,3,1,1,1,2
1,12,4,3,3,1,4,4,1,1,3,1,5,3,2,4,2,1,2,1,1
2,24,3,0,19,5,3,4,1,1,4,3,4,3,1,2,3,1,2,1,1
4,21,2,9,15,4,5,4,1,1,4,1,3,1,2,1,2,1,1,1,1
2,24,2,0,27,1,3,3,1,1,4,2,2,3,1,1,2,1,2,1,2
1,24,1,10,13,5,5,4,0,1,3,3,4,2,2,1,4,1,2,1,2
2,6,1,0,9,2,2,1,1,1,1,2,3,2,2,1,2,1,1,1,2
1,24,2,0,14,1,4,4,1,1,4,3,2,3,1,2,3,1,1,1,2
2,24,0,9,42,1,3,1,0,1,4,1,3,3,2,3,2,1,2,1,2
4,18,4,0,27,1,4,2,0,1,2,2,3,1,2,2,3,1,1,1,2
4,24,3,9,38,1,3,1,0,1,2,4,3,3,3,1,3,1,1,1,1
2,7,2,3,23,1,2,1,1,3,1,1,4,3,2,1,3,1,1,1,1
2,9,2,2,9,1,3,4,1,1,1,2,3,3,2,1,3,1,1,1,2
2,24,1,6,18,1,4,4,1,1,4,4,3,1,3,1,2,1,1,1,2
4,36,2,2,33,1,3,4,1,1,2,3,2,3,2,1,4,1,2,1,2
3,10,2,2,12,1,2,4,1,1,2,2,2,3,2,1,3,1,1,1,1
1,24,1,2,28,3,3,4,0,1,4,1,2,2,2,1,3,1,2,1,1
4,24,4,9,45,1,3,3,0,1,2,1,7,3,2,1,4,1,2,1,1
2,36,2,3,26,2,3,4,1,2,4,4,5,3,3,1,3,1,1,1,2
4,18,2,3,20,1,2,4,0,1,1,1,3,3,2,1,3,1,1,1,1
4,15,2,1,13,5,5,4,0,1,4,4,4,1,3,1,3,2,1,1,1
1,12,2,4,7,2,1,4,1,1,3,2,2,3,2,1,3,1,1,1,2
3,10,2,0,12,2,5,1,1,1,4,4,4,3,3,1,2,2,1,1,2
1,21,2,3,33,4,2,4,1,1,2,3,2,1,2,1,3,1,1,1,1
1,24,1,1,36,1,3,1,1,3,4,3,2,1,1,1,3,1,1,2,1
4,18,3,2,18,1,4,4,1,1,1,1,2,3,2,1,3,1,1,1,2
2,48,0,9,122,5,3,2,0,1,2,3,4,1,2,1,4,1,2,1,1
2,60,3,3,91,5,3,2,0,1,2,4,2,3,3,1,4,1,1,1,1
1,6,4,0,36,1,3,1,0,1,3,1,3,3,1,3,3,2,1,1,1
2,30,2,2,34,2,3,2,1,2,4,3,2,3,1,1,3,1,1,1,2
4,12,2,0,6,1,3,4,0,1,2,1,4,3,2,1,2,1,1,1,1
2,21,4,9,36,1,4,2,0,1,3,2,2,3,2,2,3,1,1,1,1
4,18,4,0,15,1,3,3,0,1,2,2,3,1,2,2,3,1,1,1,2
4,48,2,9,39,5,3,4,0,1,2,1,3,1,2,1,3,1,1,1,2
1,12,2,2,18,1,2,4,1,1,1,3,2,3,1,1,3,1,1,1,1
1,18,2,3,26,1,3,4,0,1,4,4,6,3,3,2,3,1,1,1,2
4,15,2,3,19,5,5,4,0,1,2,3,3,3,2,1,3,1,1,1,1
3,6,2,2,21,1,3,2,0,1,2,1,4,3,2,1,3,1,2,1,1
2,9,1,0,14,2,4,2,0,1,3,4,2,3,2,1,3,1,1,1,2
4,42,4,2,40,3,3,4,0,1,4,1,3,3,2,2,3,1,2,1,1
4,9,2,6,38,5,5,1,0,1,4,1,6,3,2,1,2,1,1,1,1
1,24,2,3,36,1,3,2,1,1,4,3,2,3,2,1,3,1,1,1,1
1,18,1,2,15,1,3,4,0,1,3,3,4,1,2,1,3,1,1,1,2
2,15,2,3,14,5,2,4,0,1,1,2,2,3,2,1,3,1,1,1,1
4,9,2,2,19,1,2,2,1,2,2,3,1,3,1,2,3,1,1,1,2
2,24,2,0,13,1,2,3,1,1,4,3,2,3,2,1,2,1,2,1,2
4,12,2,6,13,1,5,4,0,1,4,2,4,1,2,3,3,2,2,1,1
4,24,2,3,13,3,4,4,1,1,1,3,2,3,2,1,3,1,1,1,1
4,60,3,3,156,1,4,2,0,1,4,3,2,3,2,2,3,1,2,1,1
4,12,2,3,14,1,2,4,1,1,3,3,3,3,2,1,3,2,1,1,1
1,42,3,3,43,1,4,3,0,1,2,2,2,1,2,2,3,2,2,1,2
1,18,2,6,7,1,1,4,1,1,1,1,2,3,2,1,1,1,1,1,2
2,15,2,5,13,1,5,4,0,1,4,3,3,3,2,2,2,1,1,1,1
4,15,2,6,46,2,3,3,0,1,2,2,4,3,2,1,4,1,2,1,2
4,24,4,3,18,1,4,4,0,3,2,3,3,3,2,2,3,1,2,1,1
1,18,4,3,18,1,4,4,0,1,1,2,3,3,2,2,4,1,2,1,1
4,36,3,9,79,5,2,4,0,1,4,3,2,3,1,2,3,1,2,1,2
1,30,0,2,45,1,3,2,0,3,2,1,3,3,2,2,3,1,1,1,1
4,12,2,0,13,3,3,2,1,1,2,2,2,3,2,1,3,1,1,1,2
3,24,2,0,9,1,4,4,0,1,3,4,3,1,3,1,3,2,1,1,2
1,12,2,6,6,1,3,4,0,1,4,3,4,3,1,1,2,2,1,1,2
1,48,2,6,74,1,4,4,0,1,1,4,5,3,3,1,4,1,2,1,1
2,12,2,2,19,1,3,4,0,1,2,2,3,3,2,1,2,1,1,1,2
1,24,2,0,23,1,5,4,0,2,1,1,4,3,2,1,3,1,1,1,2
2,36,3,0,80,2,5,2,0,1,4,3,4,3,2,4,4,1,2,1,2
4,24,4,1,23,1,4,4,0,1,3,3,3,3,2,2,3,1,2,1,1
1,14,2,0,39,1,1,1,0,1,4,4,2,3,3,1,3,1,1,1,1
2,12,2,0,8,1,5,4,0,1,4,3,4,1,2,1,2,2,1,1,2
4,48,2,3,102,5,4,4,0,1,3,3,3,2,2,1,3,1,2,1,1
